PlayerID	PlayerTrueName	Team	MinOnCourt	PossForOnCourt	PossOppOnCourt	PointsForOnCourt	PointsOppOnCourt	OffRtgOnCourt	DefRtgOnCourt	OverallRtgOnCourt	ORebForOnCourt	ORebOppOnCourt	DRebForOnCourt	DRebOppOnCourt	ORebRateOnCourt	DRebRateOnCourt	MinOffCourt	PossForOffCourt	PossOppOffCourt	PointsForOffCourt	PointsOppOffCourt	OffRtgOffCourt	DefRtgOffCourt	OverallRtgOffCourt	ORebForOffCourt	ORebOppOffCourt	DRebForOffCourt	DRebOppOffCourt	ORebRateOffCourt	DRebRateOffCourt	OverallRtgOnCourtMinusOffCourt	ORebRateOnCourtMinusOffCourt	DRebRateOnCourtMinusOffCourt
132	Okur, Mehmet	NJN	301.1000	538	533	533	622	99.0706	116.6979	-17.6273	110	103	184	201	0.3537	0.6411	370.9000	683	682	739	734	108.1991	107.6246	0.5745	137	160	247	237	0.3663	0.6069	-18.2018	-0.0126	0.0342
139	Williams, Deron	NJN	473.6833	869	858	932	942	107.2497	109.7902	-2.5405	182	187	310	308	0.3714	0.6237	198.3167	352	357	340	414	96.5909	115.9664	-19.3755	65	76	121	130	0.3333	0.6142	16.8350	0.0381	0.0095
141	Humphries, Kris	NJN	418.3000	769	767	852	815	110.7932	106.2581	4.5351	149	160	293	263	0.3617	0.6468	253.7000	452	448	420	541	92.9204	120.7589	-27.8386	98	103	138	175	0.3590	0.5726	32.3737	0.0027	0.0742
143	O'Neal, Jermaine	BOS	509.9167	924	931	926	899	100.2165	96.5628	3.6536	152	154	347	339	0.3096	0.6926	838.7500	1567	1563	1575	1562	100.5105	99.9360	0.5745	227	313	562	556	0.2899	0.6423	3.0791	0.0197	0.0503
144	Battie, Tony	PHI	173.3167	322	323	324	285	100.6211	88.2353	12.3858	49	50	141	134	0.2678	0.7382	1271.6833	2382	2389	2529	2320	106.1713	97.1118	9.0595	389	438	922	927	0.2956	0.6779	3.3263	-0.0278	0.0603
145	World Peace, Metta	LAL	657.8167	1224	1228	1202	1198	98.2026	97.5570	0.6456	230	248	492	452	0.3372	0.6649	792.1833	1505	1496	1591	1524	105.7143	101.8717	3.8426	263	260	613	506	0.3420	0.7022	-3.1970	-0.0048	-0.0373
147	Jackson, Stephen	MIL	670.9000	1307	1298	1306	1376	99.9235	106.0092	-6.0858	240	248	426	482	0.3324	0.6320	726.1000	1399	1395	1436	1431	102.6447	102.5806	0.0641	243	260	500	532	0.3135	0.6579	-6.1499	0.0189	-0.0259
148	Stevenson, DeShawn	NJN	242.5833	432	443	438	477	101.3889	107.6749	-6.2861	83	101	164	170	0.3281	0.6189	429.4167	789	772	834	879	105.7034	113.8601	-8.1567	164	162	267	268	0.3796	0.6224	1.8706	-0.0515	-0.0035
149	Howard, Dwight	ORL	1187.4667	2218	2199	2322	2183	104.6889	99.2724	5.4165	435	363	878	810	0.3494	0.7075	315.3167	582	600	579	642	99.4845	107.0000	-7.5155	105	96	205	236	0.3079	0.6811	12.9320	0.0415	0.0264
151	Turkoglu, Hedo	ORL	897.3833	1678	1676	1800	1716	107.2706	102.3866	4.8839	350	287	644	595	0.3704	0.6917	605.4000	1122	1123	1101	1109	98.1283	98.7533	-0.6250	190	172	439	451	0.2964	0.7185	5.5089	0.0740	-0.0268
